BGC,SIClass,Area,Var
ESSFxvw,3,496,AllForest
ESSFxvw,4,20,AllForest
ICHdk,3,2702,AllForest
ICHdk,4,17891,AllForest
ICHdk,5,10235,AllForest
ICHdk,6,1085,AllForest
ICHdk,7,226,AllForest
ICHdm,3,37368,AllForest
ICHdm,4,91977,AllForest
ICHdm,5,28305,AllForest
ICHdm,6,1263,AllForest
ICHdm,7,19,AllForest
ICHdw1,3,34233,AllForest
ICHdw1,4,143236,AllForest
ICHdw1,5,57607,AllForest
ICHdw1,6,4607,AllForest
ICHdw1,7,319,AllForest
ICHdw3,3,12290,AllForest
ICHdw3,4,63913,AllForest
ICHdw3,5,35971,AllForest
ICHdw3,6,2085,AllForest
ICHdw3,7,1680,AllForest
ICHdw4,3,10322,AllForest
ICHdw4,4,53629,AllForest
ICHdw4,5,18574,AllForest
ICHdw4,6,1795,AllForest
ICHdw4,7,71,AllForest
ICHmc1,3,204047,AllForest
ICHmc1,4,72178,AllForest
ICHmc1,5,31258,AllForest
ICHmc1,6,2562,AllForest
ICHmc1,7,656,AllForest
ICHmc1a,3,10354,AllForest
ICHmc1a,4,2913,AllForest
ICHmc1a,5,627,AllForest
ICHmc1a,6,397,AllForest
ICHmc1a,7,55,AllForest
ICHmc2,3,69719,AllForest
ICHmc2,4,88570,AllForest
ICHmc2,5,42163,AllForest
ICHmc2,6,8339,AllForest
ICHmc2,7,2344,AllForest
ICHmk1,3,23905,AllForest
ICHmk1,4,73660,AllForest
ICHmk1,5,21275,AllForest
ICHmk1,6,674,AllForest
ICHmk1,7,42,AllForest
ICHmk2,3,17242,AllForest
ICHmk2,4,43999,AllForest
ICHmk2,5,20769,AllForest
ICHmk2,6,917,AllForest
ICHmk2,7,190,AllForest
ICHmk3,3,17552,AllForest
ICHmk3,4,37119,AllForest
ICHmk3,5,33196,AllForest
ICHmk3,6,4463,AllForest
ICHmk3,7,856,AllForest
ICHmk4,3,11671,AllForest
ICHmk4,4,19367,AllForest
ICHmk4,5,5737,AllForest
ICHmk4,6,356,AllForest
ICHmk4,7,64,AllForest
ICHmk5,3,13337,AllForest
ICHmk5,4,36106,AllForest
ICHmk5,5,17173,AllForest
ICHmk5,6,1847,AllForest
ICHmk5,7,411,AllForest
ICHmm,3,44332,AllForest
ICHmm,4,42041,AllForest
ICHmm,5,13276,AllForest
ICHmm,6,984,AllForest
ICHmm,7,148,AllForest
ICHmw1,3,28436,AllForest
ICHmw1,4,54430,AllForest
ICHmw1,5,24962,AllForest
ICHmw1,6,2440,AllForest
ICHmw1,7,354,AllForest
ICHmw2,3,80220,AllForest
ICHmw2,4,231068,AllForest
ICHmw2,5,82770,AllForest
ICHmw2,6,7131,AllForest
ICHmw2,7,600,AllForest
ICHmw3,3,72479,AllForest
ICHmw3,4,134164,AllForest
ICHmw3,5,60463,AllForest
ICHmw3,6,5265,AllForest
ICHmw3,7,3917,AllForest
ICHmw4,3,17312,AllForest
ICHmw4,4,42005,AllForest
ICHmw4,5,14798,AllForest
ICHmw4,6,934,AllForest
ICHmw4,7,13,AllForest
ICHmw5,3,45612,AllForest
ICHmw5,4,124539,AllForest
ICHmw5,5,35789,AllForest
ICHmw5,6,2396,AllForest
ICHmw5,7,11,AllForest
ICHvc,3,69782,AllForest
ICHvc,4,42222,AllForest
ICHvc,5,5955,AllForest
ICHvc,6,1477,AllForest
ICHvc,7,1181,AllForest
ICHvk1,3,84049,AllForest
ICHvk1,4,47362,AllForest
ICHvk1,5,26390,AllForest
ICHvk1,6,2774,AllForest
ICHvk1,7,350,AllForest
ICHvk2,3,59178,AllForest
ICHvk2,4,29915,AllForest
ICHvk2,5,8477,AllForest
ICHvk2,6,2460,AllForest
ICHvk2,7,394,AllForest
ICHwc,3,37394,AllForest
ICHwc,4,12215,AllForest
ICHwc,5,5272,AllForest
ICHwc,6,1068,AllForest
ICHwc,7,808,AllForest
ICHwk1,3,199542,AllForest
ICHwk1,4,175386,AllForest
ICHwk1,5,70158,AllForest
ICHwk1,6,9808,AllForest
ICHwk1,7,1026,AllForest
ICHwk2,3,49796,AllForest
ICHwk2,4,46729,AllForest
ICHwk2,5,27796,AllForest
ICHwk2,6,3316,AllForest
ICHwk2,7,572,AllForest
ICHwk3,3,31448,AllForest
ICHwk3,4,13117,AllForest
ICHwk3,5,7498,AllForest
ICHwk3,6,510,AllForest
ICHwk3,7,56,AllForest
ICHwk4,3,41669,AllForest
ICHwk4,4,41118,AllForest
ICHwk4,5,17119,AllForest
ICHwk4,6,3912,AllForest
ICHwk4,7,572,AllForest
ICHxm1,3,14809,AllForest
ICHxm1,4,51197,AllForest
ICHxm1,5,9417,AllForest
ICHxm1,6,548,AllForest
ICHxm1,7,79,AllForest
ICHxw,3,5682,AllForest
ICHxw,4,23733,AllForest
ICHxw,5,9261,AllForest
ICHxw,6,1391,AllForest
ICHxw,7,19,AllForest
ICHxwa,3,1662,AllForest
ICHxwa,4,5313,AllForest
ICHxwa,5,1123,AllForest
ICHxwa,6,109,AllForest
ICHxwa,7,59,AllForest
IDFdc,3,28854,AllForest
IDFdc,4,18981,AllForest
IDFdc,5,1625,AllForest
IDFdc,6,95,AllForest
IDFdh,3,1705,AllForest
IDFdh,4,4511,AllForest
IDFdh,5,298,AllForest
IDFdh,6,104,AllForest
IDFdh,7,44,AllForest
IDFdk1,3,258705,AllForest
IDFdk1,4,122944,AllForest
IDFdk1,5,4960,AllForest
IDFdk1,6,274,AllForest
IDFdk1,7,36,AllForest
IDFdk2,3,125735,AllForest
IDFdk2,4,114072,AllForest
IDFdk2,5,6794,AllForest
IDFdk2,6,851,AllForest
IDFdk2,7,30,AllForest
IDFdk3,3,451527,AllForest
IDFdk3,4,267216,AllForest
IDFdk3,5,25589,AllForest
IDFdk3,6,908,AllForest
IDFdk3,7,58,AllForest
IDFdk4,3,158447,AllForest
IDFdk4,4,19444,AllForest
IDFdk4,5,341,AllForest
IDFdk4,7,41,AllForest
IDFdk5,3,14801,AllForest
