PolyID,Volume
937,56
940,45
939,56
941,49.88
942,78
945,43.3571428571429
952,34.044776119403
943,45
946,42
944,45
947,66
948,35
955,41
949,75
961,56.3055555555556
953,71
950,41
954,53.1052631578947
951,41
956,42
960,62.5454545454546
957,41
958,98
959,39.75
971,42.3582089552239
962,52
963,68
964,61
965,68
966,68
967,31
968,31
969,31
972,55.4705882352941
970,30.9411764705882
973,30
974,31
975,39
983,37.8333333333333
976,29
977,50
978,39
979,39
980,39
982,39
981,40
984,30.5
986,47.5
985,52
987,52
988,51
990,61
1003,32
989,37
991,39
992,39
993,38
994,39
995,39
996,37
1004,61
997,38
998,37
999,28.05
1005,37
1000,28
1001,29
1018,42.3648648648649
1002,28
1006,43
1007,28
1008,43
1009,41
1010,43
1011,28
1012,28
1013,28
1014,28
1015,36
1016,37
1017,37
1019,39
1020,42
1021,40.2857142857143
1022,43.25
1023,38
1025,40.1632653061225
1024,32
1026,33
1027,54.375
1032,29
1039,83.8429752066116
1028,39
1029,39
1030,39
1031,40
1033,57
1034,29
1035,45
1036,71
1037,32
1038,32
1040,29
1043,52.4375
1044,52.5217391304348
1041,40
1042,39
1050,35
1045,38
1046,58
1047,44
1048,58
1051,53.38
1049,64
1052,64
1053,45
1054,46
1055,51
1056,51
1061,41.4285714285714
1057,51
1063,31
1062,46
1058,46
1059,51
1060,87
1069,49
1064,51
1065,87
1066,31
1067,51
1068,31
1070,31
1071,31
1072,49
1073,41
1074,45
1075,45
1076,45
1077,45
1078,35
1081,38
1079,47
1080,38
1086,81
1082,90.6666666666667
1083,60
1084,50
1085,60
1087,60
1088,52
1089,52
1090,82
1091,52
1092,81
1094,73
1093,68
1095,72
1096,72
1097,72
1098,72
1102,72
1099,72
1100,56
1101,72
1103,81
1105,72
1104,81
1106,81
1107,72
1108,81
1109,81
1110,50
1112,62
1111,62
1113,26
1114,26
1118,26
1115,62
1116,62
1117,69
1120,62
1119,69
1121,72
1123,113
1122,75
1124,26
1125,90
1126,90
1127,65
1128,37
1132,60
1130,158
1129,90
1140,85.7777777777778
1131,158
1133,158
1144,67
1134,99
1135,99
1137,99
1145,71.4736842105263
1157,72.0353982300885
1136,99
1147,91.3033707865169
1138,51
1139,99
1141,51
1142,99
1143,99
1146,51
1148,53
1149,58.5
1152,105
1156,67
1150,79
1153,38
1154,67
1165,58.6666666666667
1151,57.3333333333333
1155,61
1158,105
1160,50
1159,50
1172,33
1163,67
1161,51
1162,50
1164,50
1170,79
1166,33
1167,54
1168,73
1169,44
1175,58
1171,73
1173,63
1177,50.2857142857143
1174,67
1176,67
1178,52
1179,39
1180,40
1183,60
1181,40
1182,48
1184,41
1185,47
1186,60
1189,47
1187,60
1188,40
1190,40
1191,40
1196,47
1197,39
1192,75
1193,75
1194,60
1195,60
1198,60
1199,60
1200,31
1204,40
1201,60
1203,60
1202,60
1216,75.2857142857143
1205,81
1213,70.7105263157895
1231,40.375
1241,41.5793650793651
1206,83
1221,83
1207,83
1208,53
1209,64
1210,37
1211,35
1212,130
1214,51
1215,18
1242,41.5384615384615
1219,130
1225,93
1217,51
1218,43
1220,130
1222,55
1223,63
1224,118
1226,55
1230,118
1239,52
1227,35
1233,53
1228,154
1229,94
1232,88
1234,94
1235,40
1236,45.7333333333333
1240,118
1244,47
1237,36
1238,32
1243,154
1249,37
1246,118
1245,85
1248,44
1259,55
1247,85
1250,64
1251,40
1252,33
1253,47
1263,113
1254,85
1264,44
1255,75
1267,72
1256,76
1257,40
1258,37
1262,85
1260,47
1265,64
1266,75
1308,76
1261,37
1268,40
1269,37
1270,37
1271,85
1272,47
1273,64
1274,66.6666666666667
1275,75
1278,113
1276,37
1296,40.2894736842105
1277,36
1279,40
1280,85
1281,28
1282,51
1283,40
1284,37
1288,36
1285,63
1286,34
1287,49
1295,56.48
1289,63
1290,34
1291,85
1292,17
1323,44.8095238095238
1297,57
1344,44.8504672897196
1293,37
1294,29
1301,37.2307692307692
1298,34
1299,34
1300,37
1302,41
1327,44.1081081081081
1303,63
1304,43
1305,74
1306,37
1307,102
1316,49.9166666666667
1309,74
1320,48
1310,66
1311,43
1315,37
1312,74
1313,74
1314,31.5
1322,69.5384615384615
1321,40
1317,37
1318,59
1324,85
1319,37
1334,54.6956521739131
1325,91
1329,80.5
1326,37
1349,39.7959183673469
1330,34
1332,37
1328,33
1331,42
1333,102
1335,42
1347,68.8928571428571
1345,55
1341,53
1336,64
1337,53
1348,74
1340,85
1338,85
1346,54
1339,28
1351,50
1342,30
1358,44.3157894736842
1343,55
1350,95
1352,55
1378,54.1720430107527
1353,98
1356,16
1354,98
1355,35
1366,35
1357,98
1360,32
1362,98.8
1370,87.5
1359,32
1361,77
1363,32
1364,32
1365,78
1367,32
1368,41.8
1369,12
1376,60.6944444444445
1403,48.7111111111111
1371,36.9230769230769
1407,100.297297297297
1372,82
1380,44.5161290322581
1373,36
1374,81
1375,43
1397,43.4210526315789
1377,51
1394,49.3358208955224
1393,84.421052631579
1379,43
1381,131
1388,79
1395,45.3333333333333
1382,35
1383,35
1411,35
1384,51
1398,131
1396,81.4838709677419
1405,36
1385,35
1386,54
1387,43
1389,86
1390,35
1391,81
1392,54
1399,86
1400,35
1401,35
1402,81
1404,54
1406,36
1413,36
1410,53
1408,35
1409,81
1422,81
1412,33
1414,62
1415,35
1416,53
1417,33
1418,53
1423,33
1419,61
1420,93
1421,93
1431,56
1424,33
1430,95
1425,33
1426,93
1438,79.625
1427,40
1432,33
1428,68
1429,82
1434,40
1448,34.7307692307692
1433,68
1435,86
1436,56.6
1447,75.2051282051282
1437,53
1441,73
1439,53
1440,42
1442,49
1446,72.5
1443,49
1444,49
1452,102.860465116279
1476,36.5174825174825
1445,77
1456,77
1449,36
1450,33
1460,25
1453,25
1451,47
1464,44.9130434782609
1462,45
1454,32
1457,121
