PolyID,Height
762,29.7934782608696
673,26.1176470588235
665,17
666,22
667,33
668,35
669,38
670,30
671,26
672,26
684,26
676,22
677,31
680,38
704,32
681,19
682,34
736,21.7391304347826
683,26
776,32.6538461538462
685,17
740,20.2222222222222
718,27.6666666666667
686,30
687,34
688,19
689,28
713,26.15625
690,26
692,22
778,29.7142857142857
693,18
702,22
694,25
695,30
696,35
697,34.1428571428571
716,31.0967741935484
698,28
699,26
700,24
701,24
729,26.9411764705882
714,34.8181818181818
705,28
717,28
706,22
707,34
708,36
709,33
734,30
710,29
720,22
785,30
721,33
722,36
723,36
724,34
725,29
747,26
726,27.3333333333333
727,28.6666666666667
728,33
1727,28.2913320409859
780,30.2631578947368
730,36.4285714285714
753,36
807,28.0740740740741
777,26.05
731,27
851,26
875,34
732,30
844,28.5327102803738
733,31
735,30
737,29
738,25
739,29
973,32.0751445086705
791,29.3793103448276
741,37
743,29
744,34
745,32
754,30
746,34
748,29
749,29
877,28.8791946308725
779,34
790,20
758,34
750,36
751,29
752,3
755,30
783,28.25
756,29
789,22
757,29
792,32
759,34
760,3
764,15
765,10
794,31
761,30
837,31.4347826086957
782,31.25
763,29
786,35
787,33
766,11
788,26
767,26
796,25
881,26
768,34
769,22
814,30.2857142857143
770,29
793,37
771,33
772,30
773,30
805,31
795,29
774,30
775,30
819,26
879,27
1044,20.3490566037736
797,22
798,22
799,23
800,29
801,35
802,3
803,33
804,33
815,27.5
806,31
886,28.741935483871
808,30
809,29
829,29
817,28.3333333333333
839,30
810,26
887,26
811,26
812,29
813,26
848,31.2222222222222
816,29
818,26
820,25
821,25
822,17
831,30
882,30.5660377358491
823,31
845,32
824,29
825,3
826,30
827,30
856,31
828,28
830,29
980,26.5111111111111
832,30
833,29
834,30
835,30
836,10
987,24.1844660194175
849,28
838,29
840,25
983,26.8222222222222
841,34
878,24.5
842,30
843,29
846,29
883,31
847,10
850,29
939,26
852,22
853,30
978,27.6
863,30
865,31
855,32
880,29.0434782608696
857,29
1015,27.4279835390947
858,29
932,26
859,21
888,37
860,26
889,26.9411764705882
914,29.8333333333333
1106,30.1002444987775
861,35
862,15
864,32
866,32
976,29.2
885,30.75
867,30
868,29
869,25
975,25
916,32.7222222222222
1048,31.9433962264151
870,29
871,31
872,31
884,31
873,31
974,30.9047619047619
897,27.5833333333333
890,30
901,29.7142857142857
891,32
892,31
893,37
894,31
895,26
896,24
898,26
923,32.5555555555556
910,28
899,26
900,30
1053,29.6995515695067
928,32.3823529411765
902,35
903,32
904,29
905,32
906,30
907,31.2
908,33
909,18
911,30
924,30
912,30
913,30
915,30
1104,28.2239747634069
927,32
917,32.3333333333333
918,37
999,31.4252873563218
919,32
920,18
921,24
922,26
1109,28.7446808510638
1038,32.7833333333333
925,30
926,28
1035,36.9509803921569
929,33
1013,29
930,32
1042,30.5959595959596
931,32
1040,28.7244094488189
933,26
934,26
935,26
936,33
937,26
938,26
940,22
941,22
942,28
943,17
1012,34.7682926829268
944,32
945,31
1057,30.605504587156
982,29.7692307692308
977,35
946,35
947,25
948,24
949,28
950,17
951,39
952,36
964,29
953,35
954,32
955,23
956,29
957,30
958,22
1233,33.9316770186335
959,32
960,32
961,32
979,33
971,39
962,29
963,29
996,33.55
981,22.5
965,32
966,23
967,30
968,26
969,23
970,28
1064,28.5833333333333
1139,28.748743718593
986,36
990,30
972,30
984,26
985,40
988,31
989,12
1036,27.7903225806452
991,30
1163,25.8735632183908
1090,26.4615384615385
992,34
993,30
1296,28.779746835443
1039,31
1077,26
994,15.5
995,30
1002,29.1428571428571
997,32.5
998,12
1000,32
1001,34
1037,22
1003,28
1004,32.6
1117,31.4528301886793
1005,36
1006,29
1007,33
1079,25.9294117647059
1023,34
1008,26
1041,31.5714285714286
1009,18
1010,30
1011,36
1019,26
1014,32
1175,32.9133126934985
1016,29
1026,35
1027,30.5
1116,28.6971830985916
1017,36
1018,35
1020,28
1021,28
1022,25
1024,22
1025,29
1584,32.838207840697
1028,16
1029,16
1030,15
1031,28
1032,25
1033,19
1050,15
1034,16
1176,27.7514792899408
1043,25
