PolyID,TreeVolume
663,7.02040816326531
784,2.39873417721519
632,0
633,2
634,2
651,2
635,2
679,14.5333333333333
661,13.1764705882353
636,7
637,13.5
645,0
647,2
648,2
649,2
650,2
652,8
653,34
654,43
719,18.7375
664,4
658,2
659,4.15384615384615
660,27
781,67.5648148148148
762,4.69565217391304
673,7
665,0
666,2
667,11
668,18
669,44
670,8
671,3
672,4
684,4
676,2
677,7
680,24
704,76.1428571428571
681,3
682,30
736,19.5652173913043
683,4
776,10.5128205128205
685,0
740,1
718,2.16666666666667
686,7
687,12
688,3
689,3
713,5.25
690,3
692,3
778,8.11111111111111
693,1
702,2
694,1
695,7
696,30
697,14.1428571428571
716,11.7741935483871
698,4
699,4
700,8
701,8
729,1.97058823529412
714,18.4545454545455
705,4
717,3
706,2
707,25
708,14
709,25
734,11.8461538461538
710,7
720,3
785,14.984375
721,22
722,23.3333333333333
723,19
724,8
725,7
747,3.5
726,3.66666666666667
727,4.88888888888889
728,8
1727,7.98698421489892
780,14.9894736842105
730,39.6428571428572
753,59.375
807,3
777,2.275
731,4
851,2.109375
875,14
732,3.25
844,8.85981308411215
733,13.3333333333333
735,23
737,8
738,5.66666666666667
739,4
973,16.9537572254335
791,6.89655172413793
741,20
743,18
744,11
745,17
754,12.5
746,16
748,4
749,4
877,5.12080536912752
779,9.66666666666667
790,2
758,11.5714285714286
750,16.3333333333333
751,16.5
752,13
755,3
783,3.5
756,4
789,2
757,5
792,8.94117647058824
759,12
760,18
764,13.3333333333333
765,24.8
794,13.7777777777778
761,18
837,23.8550724637681
782,21.75
763,4
786,17.25
787,12.1
766,4
788,4
767,3
796,8.5
881,2.45098039215686
768,12
769,2
814,14.4285714285714
770,16
793,58.5
771,17.6
772,11
773,6
805,18.4
795,4
774,2
775,2
819,4
879,3.98089171974522
1044,0.547169811320755
797,2
798,2
799,5
800,22.5
801,21
802,33
803,7
804,15
815,9.375
806,16.5
886,3.88709677419355
808,3
809,7
829,4.76923076923077
817,3
839,4.10714285714286
810,4
887,3.84210526315789
811,2
812,2
813,5
848,21.8888888888889
816,6
818,3
820,9
821,8
822,0
831,14.1666666666667
882,7.41509433962264
823,9.5
845,10.1666666666667
824,24
825,40
826,16
827,17
856,12.0833333333333
828,3
830,5
980,1.17777777777778
832,5.5
833,4
834,13.5
835,15
836,10
987,17.0776699029126
849,2.5
838,4.75
840,8.33333333333333
983,9.1
841,11
878,7.42857142857143
842,13
843,5
846,34
